score,age,using_time,balance,usage,card,Active,salary,num_null,score_isna,gender_isna,age_isna,using_time_isna,balance_isna,usage_isna,card_isna,Active_isna,salary_isna,area_Taichung,area_Tainan,area_Taipei,gender_Female,gender_Male
619.0,42.0,2.0,0.2774022604831444,1.0,1.0,1.0,0.0320061773105503,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0
608.0,41.0,5.0,0.02872273572046513,1.0,1.0,1.0,0.0032995001041632253,4,0,1,0,1,0,0,1,0,1,0,1,0,0,0
502.0,42.0,8.0,0.2774022604831444,3.0,1.0,0.0,0.0032995001041632253,3,0,1,0,0,1,0,0,0,1,0,0,1,0,0
699.0,37.0,5.0,-1.5460191025156582,2.0,1.0,0.0,0.0032995001041632253,6,0,1,1,1,0,0,1,0,1,0,0,0,0,0
645.0,37.0,8.0,0.5914413469837567,1.0,1.0,0.0,0.0032995001041632253,4,0,0,1,0,0,1,0,0,1,0,0,0,0,1
822.0,50.0,7.0,-1.5460191025156582,2.0,1.0,1.0,-1.8683466467251622,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
501.0,44.0,5.0,0.2774022604831444,2.0,0.0,1.0,-0.5177516774599495,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1
684.0,27.0,5.0,0.9831751929229148,1.0,1.0,1.0,-0.5846753228626801,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
653.0,31.0,6.0,0.3708655093049979,2.0,0.0,1.0,-0.4086547919687769,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0
497.0,24.0,5.0,-1.5460191025156582,1.0,1.0,1.0,0.0032995001041632253,5,0,0,0,1,0,1,0,1,1,0,0,0,0,1
476.0,34.0,10.0,-1.5460191025156582,1.0,1.0,0.0,-1.531140173325945,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
549.0,25.0,5.0,-1.5460191025156582,2.0,0.0,1.0,1.895362670380013,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0
635.0,35.0,7.0,-1.5460191025156582,2.0,1.0,1.0,-0.7048775402676573,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0
616.0,37.0,3.0,1.143369102946834,2.0,1.0,1.0,-0.7386933654606698,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1
653.0,58.0,5.0,0.9455765903776346,1.0,1.0,0.0,-1.971708504493668,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
653.0,37.0,9.0,-1.5460191025156582,2.0,1.0,1.0,0.0032995001041632253,5,1,1,1,0,0,0,1,0,1,0,1,0,0,0
732.0,41.0,8.0,-1.5460191025156582,2.0,1.0,1.0,1.4796024091488582,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
653.0,32.0,8.0,-1.5460191025156582,1.0,1.0,0.0,0.8065561347160017,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0
653.0,37.0,4.0,-1.5460191025156582,1.0,1.0,0.0,0.39765921258930104,4,1,1,1,0,0,0,1,0,0,0,1,0,0,0
846.0,38.0,5.0,-1.5460191025156582,1.0,1.0,1.0,1.8278798654991495,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
653.0,25.0,3.0,-1.5460191025156582,2.0,1.0,1.0,0.5141284263599223,4,1,0,0,0,0,0,1,1,0,0,0,0,0,1
653.0,37.0,2.0,0.2774022604831444,1.0,1.0,1.0,0.0032995001041632253,6,1,1,1,0,1,1,0,0,1,1,0,0,0,0
653.0,44.0,9.0,0.2774022604831444,2.0,0.0,0.0,-1.2777412136520543,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1
411.0,29.0,0.0,0.2774022604831444,2.0,1.0,1.0,0.0032995001041632253,3,0,1,0,0,1,0,0,0,1,0,0,1,0,0
591.0,39.0,3.0,-1.5460191025156582,1.0,1.0,1.0,0.0032995001041632253,3,0,0,0,0,0,1,0,1,1,0,1,0,1,0
653.0,36.0,7.0,0.05697974843995238,1.0,1.0,1.0,0.0032995001041632253,5,1,0,0,0,0,1,1,0,1,0,0,0,0,1
553.0,37.0,9.0,0.2774022604831444,2.0,1.0,0.0,-0.37289668906504936,3,0,0,1,0,1,0,1,0,0,1,0,0,0,1
722.0,29.0,5.0,-1.5460191025156582,1.0,1.0,1.0,0.8789514657938052,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0
475.0,45.0,5.0,0.9767896311593027,1.0,1.0,0.0,0.0032995001041632253,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0
653.0,33.0,5.0,-0.1076780796282856,1.0,0.0,1.0,-0.028269590663030524,5,1,1,0,1,0,0,0,1,0,0,0,0,0,0
653.0,36.0,7.0,-1.5460191025156582,1.0,1.0,1.0,0.0032995001041632253,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1
582.0,37.0,6.0,-0.22415896369150273,2.0,0.0,1.0,1.6292362750493499,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0
472.0,40.0,4.0,-1.5460191025156582,1.0,1.0,1.0,-0.6173903158440893,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1
465.0,51.0,5.0,0.2774022604831444,1.0,1.0,0.0,0.0032995001041632253,4,0,0,0,1,1,0,1,0,1,0,0,1,1,0
556.0,61.0,2.0,0.6602794840786154,1.0,1.0,1.0,-0.11777715862169871,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
660.0,61.0,5.0,1.3839118466769251,1.0,1.0,1.0,0.0032995001041632253,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0
829.0,27.0,9.0,0.5593085402877501,1.0,1.0,1.0,0.41420250574204365,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
637.0,39.0,9.0,1.0440529862055252,1.0,1.0,1.0,0.0032995001041632253,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
550.0,38.0,2.0,0.39669524192613476,1.0,0.0,1.0,-0.18596921753904708,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
776.0,37.0,2.0,0.40379482012988716,2.0,1.0,0.0,1.9628392299949253,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
653.0,44.0,10.0,0.6404377188033703,1.0,1.0,0.0,0.0032995001041632253,4,1,0,0,0,0,1,1,0,1,1,0,0,0,1
585.0,36.0,5.0,1.1982649416535749,2.0,0.0,1.0,-0.278681439632629,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0
655.0,41.0,8.0,0.8132785510737423,1.0,1.0,1.0,1.3371014696663652,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1
653.0,42.0,1.0,0.3047062491541076,1.0,1.0,0.0,-1.2448201268942667,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
653.0,43.0,5.0,0.2774022604831444,1.0,1.0,1.0,0.2830993847953869,4,1,1,0,1,1,0,0,0,0,0,0,1,0,0
653.0,37.0,5.0,0.2774022604831444,1.0,1.0,0.0,0.0032995001041632253,6,1,0,1,1,1,0,1,0,1,1,0,0,0,1
687.0,37.0,5.0,0.2774022604831444,2.0,1.0,0.0,0.5554831202577399,4,0,0,1,1,1,0,1,0,0,1,0,0,1,0
653.0,33.0,1.0,0.2774022604831444,2.0,0.0,0.0,1.644310057123857,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0
653.0,56.0,5.0,-0.06711893944330817,1.0,1.0,1.0,-0.008598876497633218,3,1,0,0,1,0,1,0,0,0,0,1,0,0,1
603.0,26.0,4.0,0.5052067630220703,1.0,1.0,1.0,-0.14511393674176634,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
653.0,36.0,6.0,0.2774022604831444,2.0,1.0,1.0,-1.4999683855609913,4,1,0,0,0,1,0,1,1,0,1,0,0,1,0
653.0,34.0,1.0,0.36365619804833954,1.0,1.0,0.0,0.22108431025449382,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
735.0,43.0,10.0,0.7685217458169927,2.0,1.0,1.0,2.016426942661739,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0
657.0,37.0,5.0,1.5281444828786988,1.0,0.0,1.0,0.0032995001041632253,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0
653.0,25.0,5.0,1.4186681000932577,2.0,1.0,1.0,0.0032995001041632253,3,1,0,0,0,0,0,0,1,1,1,0,0,1,0
519.0,36.0,5.0,-1.5460191025156582,1.0,1.0,1.0,0.952423480721535,4,0,0,0,1,0,1,1,1,0,0,0,1,0,1
653.0,55.0,5.0,-1.5460191025156582,2.0,1.0,1.0,0.0032995001041632253,5,1,1,0,1,0,0,1,0,1,0,0,1,0,0
678.0,37.0,5.0,-1.5460191025156582,1.0,1.0,1.0,1.007553357727146,4,0,0,1,1,0,0,0,1,0,0,0,0,1,0
757.0,33.0,5.0,-0.09443833583745345,1.0,0.0,1.0,0.0032995001041632253,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1
416.0,41.0,10.0,0.7499131620934956,1.0,1.0,0.0,-0.03143052793628813,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0
653.0,36.0,3.0,0.2774022604831444,2.0,0.0,0.0,-1.536165322485532,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0
493.0,46.0,5.0,0.2774022604831444,2.0,1.0,0.0,0.0032995001041632253,5,0,1,0,1,1,0,1,0,1,0,0,1,0,0
653.0,75.0,10.0,0.2774022604831444,2.0,1.0,1.0,0.0032995001041632253,4,1,0,0,0,1,0,0,1,1,0,1,0,1,0
750.0,22.0,3.0,0.7403708960682107,1.0,1.0,1.0,0.0032995001041632253,5,0,1,0,0,0,1,0,1,1,0,0,0,0,0
729.0,30.0,9.0,-1.5460191025156582,1.0,1.0,0.0,0.0032995001041632253,3,0,0,0,0,0,1,1,0,1,0,0,1,0,1
635.0,28.0,3.0,-0.012317989763480672,1.0,1.0,1.0,1.186182952559783,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
647.0,37.0,5.0,-1.5460191025156582,3.0,1.0,1.0,1.5486969089961045,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0
