ID,score,area,gender,age,using_time,balance,usage,card,Active,salary,Purchase
1,619,Taipei,,42,2,,1,1,1,101348.88,1
2,608,Tainan,,41,,83807.86,1,,1,,0
3,502,Taipei,,42,8,,3,1,0,,1
4,699,,,,,0,2,,0,,0
6,645,,Male,,8,113755.78,,1,0,,1
7,822,Taipei,Male,50,7,0,2,1,1,10062.8,0
9,501,Taipei,Male,44,,,2,0,1,74940.5,0
10,684,,,27,,134603.88,1,1,,71725.73,0
11,,Taipei,,31,6,102016.72,2,0,,80181.12,0
12,497,,Male,24,,0,,1,,,0
13,476,,Female,34,10,0,,1,0,26260.98,0
14,549,,Female,25,,0,2,0,,190857.79,0
15,635,Tainan,,35,7,0,2,,,65951.65,0
16,616,Taichung,Male,,3,143129.41,2,,1,64327.26,0
17,653,Taichung,Male,58,,132602.88,1,1,0,5097.67,1
18,,Tainan,,,9,0,2,,1,,0
21,732,Taipei,Male,41,8,0,2,1,1,170886.17,0
22,,,Female,32,8,0,,1,0,138555.46,0
23,,Tainan,,,4,0,1,,0,118913.53,1
25,846,,,38,5,0,1,1,,187616.16,0
26,,,Male,25,3,0,2,,,124508.29,0
27,,Taichung,,,2,,,1,1,,0
28,,Taipei,Male,44,9,,2,0,0,38433.35,0
30,411,Taipei,,29,0,,2,1,1,,0
31,591,Tainan,Female,39,3,0,,1,,,1
32,,,Male,36,7,85311.7,,,1,,0
33,553,Taichung,Male,,9,,2,,0,81898.81,0
35,722,,Female,29,,0,,1,1,142033.07,0
36,475,,Female,45,,134264.04,1,1,0,,1
38,,,,33,,76548.6,1,0,,98453.45,0
39,,,Male,36,7,0,,1,1,,0
40,582,Taichung,,,6,70349.48,2,0,,178074.04,0
41,472,,Male,40,4,0,1,,,70154.22,0
42,465,Taipei,Female,51,,,1,,0,,1
43,556,,,61,2,117419.35,1,1,1,94153.83,0
45,660,,Female,61,5,155931.11,1,1,,,0
47,829,Taichung,Female,27,9,112045.67,1,1,1,119708.21,1
48,637,Taichung,Female,39,9,137843.8,1,1,1,,1
49,550,Taichung,,38,2,103391.38,1,0,1,90878.13,0
50,776,Taichung,,37,2,103769.22,2,1,0,194099.12,0
51,,Taichung,Male,44,10,116363.37,,,0,,0
52,585,Taichung,,36,,146050.97,2,0,,86424.57,0
54,655,,Male,41,8,125561.97,1,,,164040.94,1
55,,Taichung,,42,1,98495.72,1,1,0,40014.76,1
56,,Taipei,,43,,,1,1,1,113410.49,0
58,,Taichung,Male,,,,1,,0,,0
62,687,Taichung,Female,,,,2,,0,126494.82,0
63,,,,33,1,,2,0,0,178798.13,0
64,,Tainan,Male,56,,78707.16,,1,1,99398.36,0
65,603,Taichung,Male,26,4,109166.37,1,,1,92840.67,0
66,,Taichung,Female,36,6,,2,,,27758.36,0
